2025-11-28 21:28:56,014 - INFO - API call #1 - Fetching weather for Orlando at (28.5383, -81.3792)
2025-11-28 23:44:29,880 - INFO - API call #26 - Fetching weather for Amsterdam, Netherlands at (52.3676, 4.9041)
2025-11-28 23:44:31,323 - INFO - API call #27 - Fetching weather for Singapore at (1.3521, 103.8198)
2025-11-28 23:44:32,761 - INFO - API call #28 - Fetching weather for Tokyo, Japan at (35.6762, 139.6503)
2025-11-28 23:44:34,166 - INFO - API call #29 - Fetching weather for Sydney, Australia at (-33.8688, 151.2093)
2025-11-28 23:44:35,563 - INFO - API call #30 - Fetching weather for Mumbai, India at (19.0760, 72.8777)
2025-11-28 23:44:37,001 - INFO - API call #31 - Fetching weather for São Paulo, Brazil at (-23.5505, -46.6333)
2025-11-28 23:44:38,407 - INFO - API call #32 - Fetching weather for Toronto, Canada at (43.6532, -79.3832)
2025-11-28 23:44:39,852 - INFO - API call #33 - Fetching weather for Seattle, WA at (47.6062, -122.3321)
2025-11-28 23:44:41,277 - INFO - API call #34 - Fetching weather for Dallas, TX at (32.7767, -96.7970)
2025-11-28 23:44:42,674 - INFO - API call #35 - Fetching weather for Chicago, IL at (41.8781, -87.6298)
2025-11-28 23:44:44,159 - INFO - API call #36 - Fetching weather for Miami, FL at (25.7617, -80.1918)
2025-11-28 23:44:45,641 - INFO - API call #37 - Fetching weather for Denver, CO at (39.7392, -104.9903)
2025-11-28 23:44:47,047 - INFO - API call #38 - Fetching weather for Helsinki, Finland at (60.1699, 24.9384)
2025-11-28 23:44:48,437 - INFO - API call #39 - Fetching weather for Oslo, Norway at (59.9139, 10.7522)
2025-11-28 23:44:49,881 - INFO - API call #40 - Fetching weather for Reykjavik, Iceland at (64.1466, -21.9426)
2025-11-28 23:45:09,450 - INFO - API call #1 - Fetching weather for Orlando at (28.5383, -81.3792)
2025-11-28 23:45:10,953 - INFO - API call #2 - Fetching weather for Dublin, Ireland at (53.3498, -6.2603)
2025-11-28 23:45:12,397 - INFO - API call #3 - Fetching weather for London, UK at (51.5074, -0.1278)
2025-11-28 23:45:13,852 - INFO - API call #4 - Fetching weather for Frankfurt, Germany at (50.1109, 8.6821)
2025-11-28 23:45:15,301 - INFO - API call #5 - Fetching weather for Amsterdam, Netherlands at (52.3676, 4.9041)
2025-11-28 23:45:16,752 - INFO - API call #6 - Fetching weather for Singapore at (1.3521, 103.8198)
2025-11-28 23:45:18,235 - INFO - API call #7 - Fetching weather for Tokyo, Japan at (35.6762, 139.6503)
2025-11-28 23:45:19,635 - INFO - API call #8 - Fetching weather for Sydney, Australia at (-33.8688, 151.2093)
2025-11-28 23:45:21,041 - INFO - API call #9 - Fetching weather for Mumbai, India at (19.0760, 72.8777)
2025-11-28 23:45:22,447 - INFO - API call #10 - Fetching weather for São Paulo, Brazil at (-23.5505, -46.6333)
2025-11-28 23:45:23,855 - INFO - API call #11 - Fetching weather for Toronto, Canada at (43.6532, -79.3832)
2025-11-28 23:45:25,252 - INFO - API call #12 - Fetching weather for Seattle, WA at (47.6062, -122.3321)
2025-11-28 23:45:26,654 - INFO - API call #13 - Fetching weather for Dallas, TX at (32.7767, -96.7970)
2025-11-28 23:45:28,141 - INFO - API call #14 - Fetching weather for Chicago, IL at (41.8781, -87.6298)
2025-11-28 23:45:29,623 - INFO - API call #15 - Fetching weather for Miami, FL at (25.7617, -80.1918)
2025-11-28 23:45:31,064 - INFO - API call #16 - Fetching weather for Denver, CO at (39.7392, -104.9903)
2025-11-28 23:45:32,448 - INFO - API call #17 - Fetching weather for Helsinki, Finland at (60.1699, 24.9384)
2025-11-28 23:45:33,892 - INFO - API call #18 - Fetching weather for Oslo, Norway at (59.9139, 10.7522)
2025-11-28 23:45:35,344 - INFO - API call #19 - Fetching weather for Reykjavik, Iceland at (64.1466, -21.9426)
2025-11-28 23:45:36,792 - INFO - API call #20 - Fetching weather for Phoenix, AZ at (33.4484, -112.0740)
2025-11-28 23:45:38,352 - INFO - API call #21 - Fetching weather for San Francisco, CA at (37.7749, -122.4194)
2025-11-28 23:45:39,751 - INFO - API call #22 - Fetching weather for Stockholm, Sweden at (59.3293, 18.0686)
2025-11-28 23:45:41,143 - INFO - API call #23 - Fetching weather for Dublin, Ireland at (53.3498, -6.2603)
2025-11-28 23:45:42,562 - INFO - API call #24 - Fetching weather for London, UK at (51.5074, -0.1278)
2025-11-28 23:45:43,947 - INFO - API call #25 - Fetching weather for Frankfurt, Germany at (50.1109, 8.6821)
2025-11-28 23:45:45,326 - INFO - API call #26 - Fetching weather for Amsterdam, Netherlands at (52.3676, 4.9041)
2025-11-28 23:45:46,724 - INFO - API call #27 - Fetching weather for Singapore at (1.3521, 103.8198)
2025-11-28 23:45:48,165 - INFO - API call #28 - Fetching weather for Tokyo, Japan at (35.6762, 139.6503)
2025-11-28 23:45:49,641 - INFO - API call #29 - Fetching weather for Sydney, Australia at (-33.8688, 151.2093)
2025-11-28 23:45:51,063 - INFO - API call #30 - Fetching weather for Mumbai, India at (19.0760, 72.8777)
2025-11-28 23:45:52,492 - INFO - API call #31 - Fetching weather for São Paulo, Brazil at (-23.5505, -46.6333)
2025-11-28 23:45:53,932 - INFO - API call #32 - Fetching weather for Toronto, Canada at (43.6532, -79.3832)
2025-11-28 23:45:55,359 - INFO - API call #33 - Fetching weather for Seattle, WA at (47.6062, -122.3321)
2025-11-28 23:45:56,766 - INFO - API call #34 - Fetching weather for Dallas, TX at (32.7767, -96.7970)
2025-11-28 23:45:58,313 - INFO - API call #35 - Fetching weather for Chicago, IL at (41.8781, -87.6298)
2025-11-28 23:45:59,782 - INFO - API call #36 - Fetching weather for Miami, FL at (25.7617, -80.1918)
2025-11-28 23:46:01,209 - INFO - API call #37 - Fetching weather for Denver, CO at (39.7392, -104.9903)
2025-11-28 23:46:02,640 - INFO - API call #38 - Fetching weather for Helsinki, Finland at (60.1699, 24.9384)
2025-11-28 23:46:04,078 - INFO - API call #39 - Fetching weather for Oslo, Norway at (59.9139, 10.7522)
2025-11-28 23:46:05,487 - INFO - API call #40 - Fetching weather for Reykjavik, Iceland at (64.1466, -21.9426)
2025-11-29 00:05:55,274 - INFO - API call #1 - Fetching weather for Orlando at (28.5383, -81.3792)
2025-11-29 00:05:57,070 - INFO - API call #2 - Fetching weather for Dublin, Ireland at (53.3498, -6.2603)
2025-11-29 00:05:58,524 - INFO - API call #3 - Fetching weather for London, UK at (51.5074, -0.1278)
2025-11-29 00:06:00,027 - INFO - API call #4 - Fetching weather for Frankfurt, Germany at (50.1109, 8.6821)
2025-11-29 00:06:01,561 - INFO - API call #5 - Fetching weather for Amsterdam, Netherlands at (52.3676, 4.9041)
2025-11-29 00:06:03,302 - INFO - API call #6 - Fetching weather for Singapore at (1.3521, 103.8198)
2025-11-29 00:06:04,855 - INFO - API call #7 - Fetching weather for Tokyo, Japan at (35.6762, 139.6503)
2025-11-29 00:06:06,500 - INFO - API call #8 - Fetching weather for Sydney, Australia at (-33.8688, 151.2093)
2025-11-29 00:06:07,924 - INFO - API call #9 - Fetching weather for Mumbai, India at (19.0760, 72.8777)
2025-11-29 00:06:09,421 - INFO - API call #10 - Fetching weather for São Paulo, Brazil at (-23.5505, -46.6333)
2025-11-29 00:06:10,983 - INFO - API call #11 - Fetching weather for Toronto, Canada at (43.6532, -79.3832)
2025-11-29 00:06:12,723 - INFO - API call #12 - Fetching weather for Seattle, WA at (47.6062, -122.3321)
2025-11-29 00:06:14,361 - INFO - API call #13 - Fetching weather for Dallas, TX at (32.7767, -96.7970)
2025-11-29 00:06:15,999 - INFO - API call #14 - Fetching weather for Chicago, IL at (41.8781, -87.6298)
2025-11-29 00:06:17,488 - INFO - API call #15 - Fetching weather for Miami, FL at (25.7617, -80.1918)
2025-11-29 00:06:19,809 - INFO - API call #16 - Fetching weather for Denver, CO at (39.7392, -104.9903)
2025-11-29 00:06:21,230 - INFO - API call #17 - Fetching weather for Helsinki, Finland at (60.1699, 24.9384)
2025-11-29 00:06:22,867 - INFO - API call #18 - Fetching weather for Oslo, Norway at (59.9139, 10.7522)
2025-11-29 00:06:24,348 - INFO - API call #19 - Fetching weather for Reykjavik, Iceland at (64.1466, -21.9426)
2025-11-29 00:06:25,931 - INFO - API call #20 - Fetching weather for Phoenix, AZ at (33.4484, -112.0740)
2025-11-29 00:06:27,878 - INFO - API call #21 - Fetching weather for San Francisco, CA at (37.7749, -122.4194)
2025-11-29 00:06:29,400 - INFO - API call #22 - Fetching weather for Stockholm, Sweden at (59.3293, 18.0686)
2025-11-29 00:06:30,950 - INFO - API call #23 - Fetching weather for Dublin, Ireland at (53.3498, -6.2603)
2025-11-29 00:06:32,691 - INFO - API call #24 - Fetching weather for London, UK at (51.5074, -0.1278)
2025-11-29 00:06:34,329 - INFO - API call #25 - Fetching weather for Frankfurt, Germany at (50.1109, 8.6821)
2025-11-29 00:06:35,968 - INFO - API call #26 - Fetching weather for Amsterdam, Netherlands at (52.3676, 4.9041)
2025-11-29 00:06:38,337 - INFO - API call #27 - Fetching weather for Singapore at (1.3521, 103.8198)
2025-11-29 00:06:41,494 - INFO - API call #28 - Fetching weather for Tokyo, Japan at (35.6762, 139.6503)
2025-11-29 00:06:43,130 - INFO - API call #29 - Fetching weather for Sydney, Australia at (-33.8688, 151.2093)
2025-11-29 00:06:44,877 - INFO - API call #30 - Fetching weather for Mumbai, India at (19.0760, 72.8777)
2025-11-29 00:06:46,358 - INFO - API call #31 - Fetching weather for São Paulo, Brazil at (-23.5505, -46.6333)
2025-11-29 00:06:47,948 - INFO - API call #32 - Fetching weather for Toronto, Canada at (43.6532, -79.3832)
2025-11-29 00:06:49,490 - INFO - API call #33 - Fetching weather for Seattle, WA at (47.6062, -122.3321)
2025-11-29 00:06:51,123 - INFO - API call #34 - Fetching weather for Dallas, TX at (32.7767, -96.7970)
2025-11-29 00:06:52,627 - INFO - API call #35 - Fetching weather for Chicago, IL at (41.8781, -87.6298)
2025-11-29 00:06:54,042 - INFO - API call #36 - Fetching weather for Miami, FL at (25.7617, -80.1918)
2025-11-29 00:06:55,631 - INFO - API call #37 - Fetching weather for Denver, CO at (39.7392, -104.9903)
2025-11-29 00:06:57,267 - INFO - API call #38 - Fetching weather for Helsinki, Finland at (60.1699, 24.9384)
2025-11-29 00:06:58,716 - INFO - API call #39 - Fetching weather for Oslo, Norway at (59.9139, 10.7522)
2025-11-29 00:07:00,237 - INFO - API call #40 - Fetching weather for Reykjavik, Iceland at (64.1466, -21.9426)
2025-11-29 00:07:15,582 - INFO - API call #1 - Fetching weather for Orlando at (28.5383, -81.3792)
2025-11-29 00:07:17,005 - INFO - API call #2 - Fetching weather for Dublin, Ireland at (53.3498, -6.2603)
2025-11-29 00:07:18,469 - INFO - API call #3 - Fetching weather for London, UK at (51.5074, -0.1278)
2025-11-29 00:07:21,024 - INFO - API call #4 - Fetching weather for Frankfurt, Germany at (50.1109, 8.6821)
2025-11-29 00:07:22,580 - INFO - API call #5 - Fetching weather for Amsterdam, Netherlands at (52.3676, 4.9041)
2025-11-29 00:07:24,097 - INFO - API call #6 - Fetching weather for Singapore at (1.3521, 103.8198)
2025-11-29 00:07:25,633 - INFO - API call #7 - Fetching weather for Tokyo, Japan at (35.6762, 139.6503)
2025-11-29 00:07:27,190 - INFO - API call #8 - Fetching weather for Sydney, Australia at (-33.8688, 151.2093)
2025-11-29 00:07:28,635 - INFO - API call #9 - Fetching weather for Mumbai, India at (19.0760, 72.8777)
2025-11-29 00:07:30,054 - INFO - API call #10 - Fetching weather for São Paulo, Brazil at (-23.5505, -46.6333)
2025-11-29 00:07:31,468 - INFO - API call #11 - Fetching weather for Toronto, Canada at (43.6532, -79.3832)
2025-11-29 00:07:32,980 - INFO - API call #12 - Fetching weather for Seattle, WA at (47.6062, -122.3321)
2025-11-29 00:07:34,446 - INFO - API call #13 - Fetching weather for Dallas, TX at (32.7767, -96.7970)
2025-11-29 00:07:36,076 - INFO - API call #14 - Fetching weather for Chicago, IL at (41.8781, -87.6298)
2025-11-29 00:07:37,593 - INFO - API call #15 - Fetching weather for Miami, FL at (25.7617, -80.1918)
2025-11-29 00:07:38,999 - INFO - API call #16 - Fetching weather for Denver, CO at (39.7392, -104.9903)
2025-11-29 00:07:40,443 - INFO - API call #17 - Fetching weather for Helsinki, Finland at (60.1699, 24.9384)
2025-11-29 00:07:42,019 - INFO - API call #18 - Fetching weather for Oslo, Norway at (59.9139, 10.7522)
2025-11-29 00:07:43,576 - INFO - API call #19 - Fetching weather for Reykjavik, Iceland at (64.1466, -21.9426)
2025-11-29 00:07:45,190 - INFO - API call #20 - Fetching weather for Phoenix, AZ at (33.4484, -112.0740)
2025-11-29 00:07:46,744 - INFO - API call #21 - Fetching weather for San Francisco, CA at (37.7749, -122.4194)
2025-11-29 00:07:48,163 - INFO - API call #22 - Fetching weather for Stockholm, Sweden at (59.3293, 18.0686)
2025-11-29 00:07:49,772 - INFO - API call #23 - Fetching weather for Dublin, Ireland at (53.3498, -6.2603)
2025-11-29 00:07:51,353 - INFO - API call #24 - Fetching weather for London, UK at (51.5074, -0.1278)
2025-11-29 00:07:52,771 - INFO - API call #25 - Fetching weather for Frankfurt, Germany at (50.1109, 8.6821)
2025-11-29 00:07:54,224 - INFO - API call #26 - Fetching weather for Amsterdam, Netherlands at (52.3676, 4.9041)
2025-11-29 00:07:55,723 - INFO - API call #27 - Fetching weather for Singapore at (1.3521, 103.8198)
2025-11-29 00:07:57,150 - INFO - API call #28 - Fetching weather for Tokyo, Japan at (35.6762, 139.6503)
2025-11-29 00:07:58,574 - INFO - API call #29 - Fetching weather for Sydney, Australia at (-33.8688, 151.2093)
2025-11-29 00:07:59,996 - INFO - API call #30 - Fetching weather for Mumbai, India at (19.0760, 72.8777)
2025-11-29 00:08:01,422 - INFO - API call #31 - Fetching weather for São Paulo, Brazil at (-23.5505, -46.6333)
2025-11-29 00:08:02,924 - INFO - API call #32 - Fetching weather for Toronto, Canada at (43.6532, -79.3832)
2025-11-29 00:08:04,426 - INFO - API call #33 - Fetching weather for Seattle, WA at (47.6062, -122.3321)
2025-11-29 00:08:05,916 - INFO - API call #34 - Fetching weather for Dallas, TX at (32.7767, -96.7970)
2025-11-29 00:08:07,514 - INFO - API call #35 - Fetching weather for Chicago, IL at (41.8781, -87.6298)
2025-11-29 00:08:09,060 - INFO - API call #36 - Fetching weather for Miami, FL at (25.7617, -80.1918)
2025-11-29 00:08:10,585 - INFO - API call #37 - Fetching weather for Denver, CO at (39.7392, -104.9903)
2025-11-29 00:08:12,001 - INFO - API call #38 - Fetching weather for Helsinki, Finland at (60.1699, 24.9384)
2025-11-29 00:08:13,555 - INFO - API call #39 - Fetching weather for Oslo, Norway at (59.9139, 10.7522)
2025-11-29 00:08:15,120 - INFO - API call #40 - Fetching weather for Reykjavik, Iceland at (64.1466, -21.9426)
2025-11-29 00:17:25,594 - INFO - API call #1 - Fetching weather for Orlando at (28.5383, -81.3792)
2025-11-29 00:17:27,334 - INFO - API call #2 - Fetching weather for Dublin, Ireland at (53.3498, -6.2603)
2025-11-29 00:17:28,780 - INFO - API call #3 - Fetching weather for London, UK at (51.5074, -0.1278)
2025-11-29 00:17:30,196 - INFO - API call #4 - Fetching weather for Frankfurt, Germany at (50.1109, 8.6821)
2025-11-29 00:17:31,587 - INFO - API call #5 - Fetching weather for Amsterdam, Netherlands at (52.3676, 4.9041)
2025-11-29 00:17:33,075 - INFO - API call #6 - Fetching weather for Singapore at (1.3521, 103.8198)
2025-11-29 00:17:34,514 - INFO - API call #7 - Fetching weather for Tokyo, Japan at (35.6762, 139.6503)
2025-11-29 00:17:35,910 - INFO - API call #8 - Fetching weather for Sydney, Australia at (-33.8688, 151.2093)
2025-11-29 00:17:37,318 - INFO - API call #9 - Fetching weather for Mumbai, India at (19.0760, 72.8777)
2025-11-29 00:17:38,869 - INFO - API call #10 - Fetching weather for São Paulo, Brazil at (-23.5505, -46.6333)
2025-11-29 00:17:40,285 - INFO - API call #11 - Fetching weather for Toronto, Canada at (43.6532, -79.3832)
2025-11-29 00:17:41,681 - INFO - API call #12 - Fetching weather for Seattle, WA at (47.6062, -122.3321)
2025-11-29 00:17:43,114 - INFO - API call #13 - Fetching weather for Dallas, TX at (32.7767, -96.7970)
2025-11-29 00:17:44,636 - INFO - API call #14 - Fetching weather for Chicago, IL at (41.8781, -87.6298)
2025-11-29 00:17:46,078 - INFO - API call #15 - Fetching weather for Miami, FL at (25.7617, -80.1918)
2025-11-29 00:17:47,617 - INFO - API call #16 - Fetching weather for Denver, CO at (39.7392, -104.9903)
2025-11-29 00:17:49,356 - INFO - API call #17 - Fetching weather for Helsinki, Finland at (60.1699, 24.9384)
2025-11-29 00:17:50,795 - INFO - API call #18 - Fetching weather for Oslo, Norway at (59.9139, 10.7522)
2025-11-29 00:17:52,176 - INFO - API call #19 - Fetching weather for Reykjavik, Iceland at (64.1466, -21.9426)
2025-11-29 00:17:53,657 - INFO - API call #20 - Fetching weather for Phoenix, AZ at (33.4484, -112.0740)
2025-11-29 00:17:55,146 - INFO - API call #21 - Fetching weather for San Francisco, CA at (37.7749, -122.4194)
2025-11-29 00:17:56,626 - INFO - API call #22 - Fetching weather for Stockholm, Sweden at (59.3293, 18.0686)
2025-11-29 00:17:58,572 - INFO - API call #23 - Fetching weather for Dublin, Ireland at (53.3498, -6.2603)
2025-11-29 00:18:00,210 - INFO - API call #24 - Fetching weather for London, UK at (51.5074, -0.1278)
2025-11-29 00:18:01,747 - INFO - API call #25 - Fetching weather for Frankfurt, Germany at (50.1109, 8.6821)
2025-11-29 00:18:03,148 - INFO - API call #26 - Fetching weather for Amsterdam, Netherlands at (52.3676, 4.9041)
2025-11-29 00:18:04,575 - INFO - API call #27 - Fetching weather for Singapore at (1.3521, 103.8198)
2025-11-29 00:18:06,150 - INFO - API call #28 - Fetching weather for Tokyo, Japan at (35.6762, 139.6503)
2025-11-29 00:18:07,550 - INFO - API call #29 - Fetching weather for Sydney, Australia at (-33.8688, 151.2093)
2025-11-29 00:18:08,947 - INFO - API call #30 - Fetching weather for Mumbai, India at (19.0760, 72.8777)
2025-11-29 00:18:10,553 - INFO - API call #31 - Fetching weather for São Paulo, Brazil at (-23.5505, -46.6333)
2025-11-29 00:18:12,080 - INFO - API call #32 - Fetching weather for Toronto, Canada at (43.6532, -79.3832)
2025-11-29 00:18:13,455 - INFO - API call #33 - Fetching weather for Seattle, WA at (47.6062, -122.3321)
2025-11-29 00:18:14,845 - INFO - API call #34 - Fetching weather for Dallas, TX at (32.7767, -96.7970)
2025-11-29 00:18:16,300 - INFO - API call #35 - Fetching weather for Chicago, IL at (41.8781, -87.6298)
2025-11-29 00:18:17,838 - INFO - API call #36 - Fetching weather for Miami, FL at (25.7617, -80.1918)
2025-11-29 00:18:19,359 - INFO - API call #37 - Fetching weather for Denver, CO at (39.7392, -104.9903)
2025-11-29 00:18:21,003 - INFO - API call #38 - Fetching weather for Helsinki, Finland at (60.1699, 24.9384)
2025-11-29 00:18:22,534 - INFO - API call #39 - Fetching weather for Oslo, Norway at (59.9139, 10.7522)
2025-11-29 00:18:23,970 - INFO - API call #40 - Fetching weather for Reykjavik, Iceland at (64.1466, -21.9426)
